b0_m,l_b0,shape_func,energy_density_Jm3,radial_pressure_Pa,transverse_tension_Pa,energy_violation
0.1,-10.0,0.009950371902099894,-4.7205704212551947e+40,-4.7205704212551947e+40,4.7205704212551947e+40,0.0
0.1,-9.9,0.01004987059618685,-4.91223468537126e+40,-4.91223468537126e+40,4.91223468537126e+40,0.0
0.1,-9.8,0.010151368801339449,-5.113704786497327e+40,-5.113704786497327e+40,5.113704786497327e+40,0.0
0.1,-9.7,0.010254927073755471,-5.325587610175136e+40,-5.325587610175136e+40,5.325587610175136e+40,0.0
0.1,-9.6,0.010360608425945605,-5.548534217416805e+40,-5.548534217416805e+40,5.548534217416805e+40,0.0
0.1,-9.5,0.010468478451804276,-5.783243549450836e+40,-5.783243549450836e+40,5.783243549450836e+40,0.0
0.1,-9.4,0.01057860545935226,-6.030466484840201e+40,-6.030466484840201e+40,6.030466484840201e+40,0.0
0.1,-9.3,0.010691060611702006,-6.29101028651423e+40,-6.29101028651423e+40,6.29101028651423e+40,0.0
0.1,-9.2,0.010805918076841923,-6.565743480691397e+40,-6.565743480691397e+40,6.565743480691397e+40,0.0
0.1,-9.1,0.010923255186885406,-6.85560121468155e+40,-6.85560121468155e+40,6.85560121468155e+40,0.0
0.1,-9.0,0.011043152607484655,-7.161591146226092e+40,-7.161591146226092e+40,7.161591146226092e+40,0.0
0.1,-8.9,0.011165694518168505,-7.484799923456166e+40,-7.484799923456166e+40,7.484799923456166e+40,0.0
0.1,-8.8,0.011290968804428623,-7.82640032183289e+40,-7.82640032183289e+40,7.82640032183289e+40,0.0
0.1,-8.7,0.011419067262449565,-8.187659112704337e+40,-8.187659112704337e+40,8.187659112704337e+40,0.0
0.1,-8.6,0.01155008581745644,-8.56994574751932e+40,-8.56994574751932e+40,8.56994574751932e+40,0.0
0.1,-8.5,0.011684124756739722,-8.974741952446594e+40,-8.974741952446594e+40,8.974741952446594e+40,0.0
0.1,-8.4,0.011821288978511237,-9.403652340358066e+40,-9.403652340358066e+40,9.403652340358066e+40,0.0
0.1,-8.3,0.011961688257849115,-9.858416161075356e+40,-9.858416161075356e+40,9.858416161075356e+40,0.0
0.1,-8.2,0.012105437531103979,-1.0340920326719145e+41,-1.0340920326719145e+41,1.0340920326719145e+41,0.0
0.1,-8.1,0.012252657200264649,-1.0853213867252762e+41,-1.0853213867252762e+41,1.0853213867252762e+41,0.0
0.1,-8.0,0.012403473458920847,-1.1397523992242423e+41,-1.1397523992242423e+41,1.1397523992242423e+41,0.0
0.1,-7.9,0.012558018641613914,-1.1976273958895238e+41,-1.1976273958895238e+41,1.1976273958895238e+41,0.0
0.1,-7.8,0.012716431598536547,-1.259210297408793e+41,-1.259210297408793e+41,1.259210297408793e+41,0.0
0.1,-7.7,0.012878858097730414,-1.324788838995561e+41,-1.324788838995561e+41,1.324788838995561e+41,0.0
0.1,-7.6,0.013045451257138737,-1.3946770489371746e+41,-1.3946770489371746e+41,1.3946770489371746e+41,0.0
0.1,-7.5,0.013216372009101798,-1.4692180200140875e+41,-1.4692180200140875e+41,1.4692180200140875e+41,0.0
0.1,-7.4,0.013391789600139505,-1.5487870125921469e+41,-1.5487870125921469e+41,1.5487870125921469e+41,0.0
0.1,-7.3,0.013571882129149863,-1.633794933895364e+41,-1.633794933895364e+41,1.633794933895364e+41,0.0
0.1,-7.2,0.013756837127468774,-1.724692244595694e+41,-1.724692244595694e+41,1.724692244595694e+41,0.0
0.1,-7.1,0.013946852184589268,-1.821973351572194e+41,-1.821973351572194e+41,1.821973351572194e+41,0.0
0.1,-7.0,0.014142135623730952,-1.9261815546889688e+41,-1.9261815546889688e+41,1.9261815546889688e+41,0.0
0.1,-6.9,0.014342907231889208,-2.0379146259524014e+41,-2.0379146259524014e+41,2.0379146259524014e+41,0.0
0.1,-6.8,0.014549399049483137,-2.1578311117112633e+41,-2.1578311117112633e+41,2.1578311117112633e+41,0.0
0.1,-6.7,0.014761856225269076,-2.286657462992725e+41,-2.286657462992725e+41,2.286657462992725e+41,0.0
0.1,-6.6,0.014980537942799497,-2.4251961160241567e+41,-2.4251961160241567e+41,2.4251961160241567e+41,0.0
0.1,-6.5,0.015205718425394112,-2.574334664959029e+41,-2.574334664959029e+41,2.574334664959029e+41,0.0
0.1,-6.4,0.015437688027360959,-2.735056292389331e+41,-2.735056292389331e+41,2.735056292389331e+41,0.0
0.1,-6.3,0.01567675442007084,-2.908451651094331e+41,-2.908451651094331e+41,2.908451651094331e+41,0.0
0.1,-6.2,0.01592324388246205,-3.095732423504636e+41,-3.095732423504636e+41,3.095732423504636e+41,0.0
0.1,-6.1,0.016177502706648098,-3.2982468245961943e+41,-3.2982468245961943e+41,3.2982468245961943e+41,0.0
