v_fraction,lorentz_factor,time_difference_s,causal_loop_possible
0.01,1.0000500037503126,-1.6095227914142607e+5,YES
0.0296,1.0004383680814752,-4.9482370264244074e+5,YES
0.0492,1.0012125217535794,-8.532453282086849e+5,YES
0.0688,1.0023751553253395,-1.2364532782678009e+6,YES
0.08839999999999999,1.0039303304119471,-1.6447138974213002e+6,YES
0.108,1.0058835193490674,-2.0783249664587378e+6,YES
0.1276,1.0082416592128542,-2.5376171170383693e+6,YES
0.1472,1.0110132212522525,-3.0229554644398093e+6,YES
0.1668,1.0142082971160695,-3.534741479232937e+6,YES
0.1864,1.0178387036297165,-4.0734151226510107e+6,YES
0.20600000000000002,1.0219181083091469,-4.639457275026202e+6,YES
0.2256,1.0264621783095513,-5.233392491987318e+6,YES
0.2452,1.0314887561151203,-5.855792129409819e+6,YES
0.26480000000000004,1.0370180660105988,-6.507277885568649e+6,YES
0.2844,1.0430729562696686,-7.188525817849308e+6,YES
0.304,1.049679183093476,-7.900270902070881e+6,YES
0.3236,1.0568657436920035,-8.64331221540171e+6,YES
0.3432,1.0646652675962007,-9.418518839568794e+6,YES
0.3628,1.0731144774183583,-1.0226836600288688e+7,YES
0.3824,1.0822547329731547,-1.1069295782519936e+7,YES
0.402,1.0921326761077352,-1.1947019990457446e+7,YES
0.4216,1.102800998003721,-1.2861236357762856e+7,YES
0.4412,1.114319356431496,-1.3813287359453932e+7,YES
0.4608,1.1267554779046258,-1.4804644534990877e+7,YES
0.4804,1.140186489522517,-1.5836924506201117e+7,YES
0.5,1.1547005383792517,-1.6911907768965276e+7,YES
0.5196000000000001,1.1703987740051325,-1.8031560861191004e+7,YES
0.5392,1.1873977931967532,-1.9198062671468766e+7,YES
0.5588,1.205832679415875,-2.0413835866954028e+7,YES
0.5784,1.2258608146047365,-2.1681584705467624e+7,YES
0.598,1.247666705662906,-2.3004340884527416e+7,YES
0.6176,1.271468159979309,-2.4385519611635031e+7,YES
0.6372,1.2975242783914056,-2.582898881933266e+7,YES
0.6567999999999999,1.3261459321694322,-2.7339155492271155e+7,YES
0.6764,1.3577096895870333,-2.892107457231222e+7,YES
0.696,1.3926766181924575,-3.0580588100365014e+7,YES
0.7156,1.4316181152753633,-3.232450552847332e+7,YES
0.7352,1.4752520952094226,-3.4160841140887516e+7,YES
0.7548,1.5244948241161904,-3.6099132373993187e+7,YES
0.7744,1.5805370761177526,-3.815087550787494e+7,YES
0.794,1.6449593510069935,-4.0330136391583504e+7,YES
0.8136,1.7199122606250414,-4.2654430668480015e+7,YES
0.8331999999999999,1.8084106357091223,-4.514603486936463e+7,YES
0.8528,1.9148370586494927,-4.783401810034929e+7,YES
0.8724,2.0458573400216884,-5.075754694921693e+7,YES
0.892,2.212216138341246,-5.39716000124949e+7,YES
0.9116,2.4326260693557775,-5.755766558018988e+7,YES
0.9312,2.7434190784344805,-6.164605439472545e+7,YES
0.9508,3.227833132554091,-6.647038343750167e+7,YES
0.9703999999999999,4.140730306904174,-7.253983717634891e+7,YES
0.99,7.088812050083374,-8.159213457198641e+7,YES
