v_fraction,R_m,rho_alcubiere_Jm3,rho_vdb_Jm3,d_required_m,quantum_gravity_ratio
0.1,1.0,-5.357915036985318e+23,-7.152066466270222e+16,2.2194603261670878e-13,618714240757222960000000000000000000.0
0.1,10.0,-5.357915036985319e+21,-7.152066466270222e+13,7.018549807068197e-13,6187142407572229000000000000000000000.0
0.1,100.0,-5.357915036985319e+19,-7.152066466270223e+10,2.219460326167082e-12,61871424075722290000000000000000000000.0
0.5,1.0,-1.3394787592463298e+25,-1.7880166165675554e+18,9.925728325346913e-14,123742848151444600000000000000000000.0
0.5,10.0,-1.3394787592463298e+23,-1.7880166165675557e+15,3.1387908944145004e-13,1237428481514445900000000000000000000.0
0.5,100.0,-1.3394787592463298e+21,-1.7880166165675554e+12,9.925728325346923e-13,12374284815144459000000000000000000000.0
1.0,1.0,-5.357915036985318e+25,-7.15206646627022e+18,7.01854980706819e-14,61871424075722300000000000000000000.0
1.0,10.0,-5.357915036985318e+23,-7.152066466270223e+15,2.2194603261670878e-13,618714240757222960000000000000000000.0
1.0,100.0,-5.357915036985319e+21,-7.15206646627022e+12,7.018549807068197e-13,6187142407572229000000000000000000000.0
2.0,1.0,-2.1431660147941273e+26,-2.8608265865080884e+19,4.962864162673465e-14,30935712037861150000000000000000000.0
2.0,10.0,-2.1431660147941273e+24,-2.860826586508089e+16,1.569395447207253e-13,309357120378611480000000000000000000.0
2.0,100.0,-2.1431660147941275e+22,-2.8608265865080884e+13,4.9628641626734527e-13,3093571203786114700000000000000000000.0
5.0,1.0,-1.3394787592463295e+27,-1.7880166165675554e+20,3.138790894414508e-14,12374284815144460000000000000000000.0
5.0,10.0,-1.3394787592463298e+25,-1.7880166165675554e+17,9.925728325346913e-14,123742848151444600000000000000000000.0
5.0,100.0,-1.3394787592463298e+23,-1.7880166165675554e+14,3.1387908944145004e-13,1237428481514445900000000000000000000.0
